period,org_code,parent_org,org_name,att_type1,att_type2,att_other,att_booked_type1,att_booked_type2,att_booked_other,over4hr_type1,over4hr_type2,over4hr_other,over4hr_booked_type1,over4hr_booked_type2,over4hr_booked_other,wait_4_12hr,wait_12hr_plus,emerg_admit_type1,emerg_admit_type2,emerg_admit_other,other_emerg_admit,total_attendances,total_over4hr,pct_within_4hr,breach
2026-03-01,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10583,0,0,0,0,0,4778,0,0,0,0,0,597,724,2935,0,0,988,10583,4778,54.85,1
2026-03-01,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8750,0,7960,0,0,821,1584,0,106,0,0,0,656,33,4912,0,0,720,16710,1690,89.89,1
2026-03-01,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,9990,0,2172,1707,0,1659,3511,0,30,0,0,0,212,58,3011,0,0,464,12162,3541,70.88,1
2026-03-01,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,16635,126,6852,124,0,93,5940,0,178,0,0,1,2085,308,3451,0,174,901,23613,6118,74.09,1
2026-03-01,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,26064,950,18544,0,0,0,10076,6,919,0,0,0,1010,1207,4449,1,35,1390,45558,11001,75.85,1
2026-03-01,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7582,0,8517,0,0,0,3296,0,237,0,0,0,373,310,3197,0,207,699,16099,3533,78.05,1
2026-03-01,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7509,0,3219,0,0,128,3946,0,8,0,0,0,402,665,2422,0,0,788,10728,3954,63.14,1
2026-03-01,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13844,2485,14885,0,0,0,6100,413,253,0,0,0,609,608,3749,0,0,2137,31214,6766,78.32,1
2026-03-01,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,12105,1200,0,0,0,0,3601,60,0,0,0,0,455,11,3903,13,0,1600,13305,3661,72.48,1
2026-03-01,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,16974,0,17385,0,0,1047,8228,0,320,0,0,7,1057,487,3998,0,0,538,34359,8548,75.12,1
2026-03-01,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8727,0,4237,330,0,0,2697,0,145,55,0,0,474,476,1843,0,0,578,12964,2842,78.08,1
2026-03-01,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LEEDS TEACHING HOSPITALS NHS TRUST,18894,791,11213,59,0,410,6521,0,181,16,0,0,1518,564,3760,0,0,1354,30898,6702,78.31,1
2026-03-01,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,11779,0,2267,0,0,0,3299,0,200,0,0,0,602,764,2137,0,0,154,14046,3499,75.09,1
2026-03-01,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8104,0,981,318,0,1509,3102,0,58,95,0,3,592,258,2639,0,72,952,9085,3160,65.22,1
2026-03-01,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12102,0,3298,149,0,81,4107,0,210,29,0,2,1053,368,3039,0,95,1249,15400,4317,71.97,1
2026-03-01,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,9858,0,6484,298,0,1078,3038,0,1091,55,0,0,335,671,1758,0,0,471,16342,4129,74.73,1
2026-03-01,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2144,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,2144,110,94.87,1
2026-03-01,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,10359,0,4254,0,0,625,2064,0,159,0,0,0,957,40,3662,0,0,2769,14613,2223,84.79,1
2026-03-01,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13996,0,0,543,0,0,2783,0,0,0,0,0,299,66,1512,0,0,350,13996,2783,80.12,1
2026-03-01,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,13405,0,5222,0,0,0,3841,0,0,0,0,0,292,678,1120,0,0,174,18627,3841,79.38,1
2025-05-01,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7250,0,3317,0,0,67,4462,0,50,0,0,4,610,645,2110,0,0,1192,10567,4512,57.3,1
2025-05-01,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6661,0,100.0,0
2025-05-01,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,0,100.0,0
2025-05-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,100.0,0
2025-05-01,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3567,0,0,7,0,0,24,0,0,0,0,0,0,0,0,0,3567,24,99.33,0
2025-05-01,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,100.0,0
2025-05-01,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5679,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,5679,189,96.67,0
2025-05-01,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6821,0,3781,457,0,174,3146,0,16,197,0,1,319,65,2274,0,0,1204,10602,3162,70.18,1
2025-05-01,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7796,0,1263,0,0,0,2945,0,0,0,0,0,574,205,1665,0,0,536,9059,2945,67.49,1
2025-05-01,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10479,0,0,0,0,0,3919,0,0,0,0,0,462,661,3039,0,0,946,10479,3919,62.6,1
2025-05-01,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,3058,0,0,0,0,0,156,0,0,0,0,0,0,0,1,141,3058,156,94.9,1
2025-05-01,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,16305,0,0,0,0,0,2568,0,0,0,0,0,719,5,2811,0,0,203,16305,2568,84.25,1
2025-05-01,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,2037,0,0,10,0,0,49,0,0,0,0,0,0,0,0,0,2037,49,97.59,0
2025-05-01,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2636,0,100.0,0
2025-05-01,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1612,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1612,2,99.88,0
2025-05-01,AQM01,NHS ENGLAND SOUTH EAST ,FAVERSHAM MEDICAL PRACTICE MIU,0,0,2828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828,0,100.0,0
2025-05-01,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3179,0,100.0,0
2025-05-01,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6756,0,1203,0,0,0,3003,0,0,0,0,0,1542,90,1934,0,0,305,7959,3003,62.27,1
2025-05-01,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,4266,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,4266,234,94.51,1
2025-05-01,RY2,NHS ENGLAND NORTH WEST ,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,3030,0,0,166,0,0,50,0,0,1,0,0,0,0,0,0,3030,50,98.35,0
2025-05-01,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,8372,0,0,1657,0,0,166,0,0,9,0,0,0,0,0,0,8372,166,98.02,0
2025-05-01,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,843,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,843,0,100.0,0
2025-05-01,Y07709,NHS ENGLAND SOUTH EAST ,READING URGENT CARE CENTRE,0,0,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,0,100.0,0
2025-05-01,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,2378,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,2378,37,98.44,0
2025-05-01,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565,0,100.0,0
2025-05-01,NQT51,NHS ENGLAND SOUTH EAST ,STATION PLAZA HEALTH CENTRE,0,0,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,100.0,0
2025-05-01,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1743,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1743,8,99.54,0
2025-05-01,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,1209,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1209,5,99.59,0
2025-05-01,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3089,0,100.0,0
2025-05-01,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9300,0,0,36,0,0,2619,0,0,0,0,0,427,0,3072,0,0,465,9300,2619,71.84,1
2025-05-01,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,6022,1060,164,109,0,0,2883,0,0,32,0,0,479,249,1452,0,0,157,7246,2883,60.21,1
2025-05-01,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1171,0,0,38,0,0,3,0,0,0,0,0,0,0,0,0,1171,3,99.74,0
2025-05-01,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,100.0,0
2025-05-01,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5614,0,0,204,0,0,245,0,0,2,0,0,0,0,0,0,5614,245,95.64,0
2025-05-01,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2433,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,2433,96,96.05,0
2025-05-01,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2665,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,2665,77,97.11,0
2025-05-01,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11022,1191,6079,789,0,1486,4902,28,218,345,0,46,697,12,4357,17,0,1468,18292,5148,71.86,1
2025-05-01,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5246,0,1090,363,0,30,1393,0,0,80,0,0,170,15,1107,0,0,302,6336,1393,78.01,1
2025-05-01,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4611,0,319,318,0,28,401,0,0,45,0,0,14,0,1007,0,0,80,4930,401,91.87,1
2025-05-01,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4561,0,0,48,0,17,1991,0,0,0,0,0,151,148,932,0,0,191,4561,1991,56.35,1
2025-05-01,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5321,0,2456,0,0,0,2837,0,283,0,0,0,244,751,1743,0,0,1216,7777,3120,59.88,1
2025-05-01,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11355,0,0,0,0,0,1983,0,0,0,0,0,202,26,1764,0,0,313,11355,1983,82.54,1
2025-05-01,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2236,0,0,155,0,0,9,0,0,0,0,0,0,0,0,0,2236,9,99.6,0
2025-05-01,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5381,0,0,273,0,0,311,0,0,0,0,0,0,0,0,0,5381,311,94.22,1
2025-05-01,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4389,290,1654,18,0,16,1709,0,0,8,0,0,268,96,1379,0,0,71,6333,1709,73.01,1
2025-05-01,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9416,1118,3475,0,0,0,2417,0,0,0,0,0,719,49,2605,0,15,1434,14009,2417,82.75,1
2025-05-01,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,23038,836,12588,0,0,0,9511,0,453,0,0,0,1843,323,6204,0,0,153,36462,9964,72.67,1
2025-05-01,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,9248,0,0,0,0,0,2903,0,0,0,0,0,357,1,2085,0,0,254,9248,2903,68.61,1
2025-05-01,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,12073,2442,1713,1074,16,0,4572,54,0,369,0,0,584,31,2196,0,0,358,16228,4626,71.49,1
2025-05-01,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7315,0,3197,0,0,0,3562,0,33,0,0,0,636,145,3022,0,0,662,10512,3595,65.8,1
2025-05-01,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,13949,0,6564,0,0,0,7070,0,96,0,0,0,693,819,2752,0,0,913,20513,7166,65.07,1
2025-05-01,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4576,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,4576,307,93.29,1
2025-05-01,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,100.0,0
2025-05-01,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,9490,0,0,351,0,0,504,0,0,56,0,0,0,0,0,0,9490,504,94.69,1
2025-05-01,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,25682,3108,12283,3530,523,1029,10832,186,660,1387,35,95,2893,106,5790,129,153,450,41073,11678,71.57,1
2025-05-01,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,6146,0,7001,0,0,0,2946,0,74,0,0,0,482,58,2043,0,0,56,13147,3020,77.03,1
2025-05-01,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4522,0,0,411,0,4627,1479,0,0,77,0,3,231,23,1951,0,0,482,4522,1479,67.29,1
2025-05-01,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6141,0,0,0,0,0,833,0,0,0,0,0,0,0,1002,0,0,299,6141,833,86.44,1
2025-05-01,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,7244,0,13592,0,0,0,3689,0,828,0,0,0,612,487,2719,0,55,1068,20836,4517,78.32,1
2025-05-01,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8577,0,404,3,0,0,2589,0,0,0,0,0,374,76,2276,0,0,866,8981,2589,71.17,1
2025-05-01,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,14521,501,9125,705,0,653,7254,0,61,311,0,18,1020,857,4960,0,0,1851,24147,7315,69.71,1
2025-05-01,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,9285,0,7632,0,0,398,5091,0,86,0,0,4,740,796,5481,0,0,490,16917,5177,69.4,1
2025-05-01,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,12857,0,7821,155,0,765,3564,0,394,29,0,3,1012,383,5887,0,0,836,20678,3958,80.86,1
2025-05-01,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,6040,0,0,0,0,0,111,0,0,0,0,0,0,0,1,0,276,6040,111,98.16,0
2025-05-01,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8572,0,2012,0,0,568,3928,0,0,0,0,0,463,125,1867,0,0,275,10584,3928,62.89,1
2025-05-01,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,13831,0,0,0,0,0,132,0,0,0,0,0,0,0,0,40,13831,132,99.05,0
2025-05-01,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9636,0,4518,0,0,0,5515,0,685,0,0,0,1035,467,3684,0,0,2249,14154,6200,56.2,1
2025-05-01,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,8967,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,8967,214,97.61,0
2025-05-01,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,13220,0,0,531,0,0,204,0,0,6,0,0,0,0,0,0,13220,204,98.46,0
2025-05-01,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3726,0,0,277,0,0,20,0,0,0,0,0,0,0,0,0,3726,20,99.46,0
2025-05-01,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3723,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,3723,576,84.53,1
2025-05-01,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1521,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,1521,63,95.86,0
2025-05-01,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,3089,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,3089,188,93.91,1
